,REGULAR SEASON,,,,,PLAYOFFS,,,,,COMBINED,,,,,
,,,,,,,,,,,,,,,,
,T100,T50,GP,,,T100,T50,GP,,,T100,T50,GP,,RS,PLAYOFFS
,9,5,49,oldfriend99,,2,0,13,gsw (chi),,28,24,61,etienne,49,12
,9,6,49,lxst (corum) (lost),,0,0,13,bravos (lazerdim),,12,9,60,614s_finest,38,22
,24,14,49,sebas (kyrielover_11),,4,2,13,dg_4,,11,4,60,pat (shlattpat) (patty) (sloppyforslavin),43,17
,26,22,49,etienne,,7,5,13,adamoo,,6,2,60,bigk18,56,4
,11,5,48,bam,,6,4,13,zane,,25,15,60,coby (am) (unrealistics),55,5
,9,7,48,rowan,,5,2,13,etan_ (etan_o),,26,16,60,sports6138,46,14
,19,11,48,corsic,,2,2,12,braden_,,13,3,60,devincooker,59,1
,9,5,48,cfbelite (mlbelite),,6,2,12,cteszn (chiszn) (someone_3377),,23,16,60,four,44,16
,8,4,47,kobebryant,,4,4,12,jakefromstatenothing,,15,10,60,nind0 (ted),60,
,8,5,47,knicks,,4,1,12,clase (dean) (hvl),,8,1,59,croatia,57,2
,9,5,47,herro,,2,1,12,buck,,15,11,59,burgerkingjaylen,42,17
,22,16,47,arthurmorgan,,3,2,12,justinjefferson,,28,15,58,zayo,43,15
,21,8,47,otf,,2,2,12,etienne,,13,8,58,okoro (okorolover355) (iouisss),52,6
,13,7,47,scottie,,3,2,12,chittum,,30,16,58,kenny_wya (neto),42,16
,12,9,46,target (callingitontarget),,4,1,12,knightnate12,,10,6,57,oldfriend99,49,8
,16,10,46,co,,2,1,12,🍁,,15,11,57,jameswyo,35,22
,16,8,46,bos (tatum),,3,1,11,christian,,17,9,56,jacksonbynum,49,7
,20,13,46,sports6138,,1,1,11,duke (flocknation) (eatass420),,18,8,56,shy (akria) (smiley) (booty) (milos) (zionwilliamson),56,
,24,14,45,zyx,,4,1,11,waggnut (🎃),,17,7,56,morel,45,11
,4,2,45,seahawkswoolen27,,4,2,11,🥊(glovee),,15,6,55,khabib (seiya),40,15
,11,8,45,zero,,1,0,11,dex,,31,24,55,jordancarter,50,5
,11,4,45,luhsean56,,6,2,11,morel,,24,18,55,arthurmorgan,47,8
,11,5,45,morel,,6,6,11,kyoten,,18,11,55,justinjefferson,43,12
,24,14,45,jonah,,7,5,11,yogiferrell,,22,14,55,virgil (nick_),40,15
,14,4,45,brandonmiller,,6,5,11,garland,,23,9,54,juan.soto22,51,3
,8,5,44,galaxygiraffe (islam),,8,6,11,icy,,7,4,54,cove (one) (marvin) (timeless) (leclerc) (dreww) (tiedemann) (marte),52,2
,3,2,44,willy,,3,1,10,imlincoln (lincoln),,3,2,54,willy,44,10
,6,0,44,trickyy,,0,0,10,willy,,11,7,54,herro,47,7
,20,15,44,four,,5,4,10,harper (skenes) (uzi) (saquon),,10,7,54,lxst (corum) (lost),49,5
,5,2,44,bshumer1,,5,1,10,riggiem,,13,7,54,murray (pelss),40,14
,16,8,44,sink,,2,2,10,jaylenszn,,30,19,54,mrswaggymcswag0,30,24
,22,9,44,ejwise,,6,6,10,ln4,,12,9,53,cywheela,50,3
,13,7,44,maxp,,2,2,10,lamb_,,9,7,53,rowan,48,5
,24,15,44,ederick2442,,2,2,10,xo,,9,5,53,dg_4,40,13
,8,7,44,siri,,4,4,10,devinbooker,,11,7,53,huts (wrigley),53,
,10,6,43,nathans1215,,2,2,10,smartomarcus,,26,10,53,ejwise,44,9
,20,13,43,zayo,,3,2,10,joelembiid,,37,30,52,xpr0gidy,37,15
,6,2,43,shabddd (depressedosufan),,5,2,10,saquon,,12,9,52,zero,45,7
,8,4,43,pat (shlattpat) (patty) (sloppyforslavin),,3,3,10,_vinnie,,14,7,52,scottie,47,5
,4,1,43,yankees.hub,,5,2,10,tgeneral,,25,14,52,jonah,45,7
,15,9,43,justinjefferson,,6,3,10,shad0w,,13,9,51,chargers,42,9
,20,14,43,zim,,4,3,9,ggs,,6,4,51,manoffaith,50,1
,19,12,43,poolepartyjp3,,3,0,9,julius.chestnut,,10,2,51,shabd,36,15
,16,7,43,arttheclown_,,1,0,9,mariosss,,14,8,51,aiden,37,14
,9,6,42,chargers,,2,1,9,shane (justinf1elds) (calebw1lliams),,14,10,51,twistex,36,15
,10,7,42,burgerkingjaylen,,2,1,9,member481067 (james.cookk),,10,5,50,gsw (chi),37,13
,3,1,42,franklindog (embiid),,3,2,9,uzi (uzi.md) (pavel.buchnevich),,10,6,50,nathans1215,43,7
,9,3,42,casty (quinn__) (ward),,4,3,9,chargers,,17,9,50,bos (tatum),46,4
,18,11,42,neev,,2,0,9,emvpiid70,,9,5,50,buck,38,12
,19,11,42,kane,,3,1,9,cyl,,8,4,49,kobebryant,47,2
,21,11,42,kenny_wya (neto),,4,1,9,ejwise,,4,2,49,seahawkswoolen27,45,4
,8,4,41,dane,,3,2,9,raiola,,7,3,49,shabddd (depressedosufan),43,6
,11,7,41,goodbyesosoon,,6,2,9,aunt,,6,0,49,trickyy,44,5
,27,14,41,dxvxn,,1,0,9,dillon,,17,8,49,sink,44,5
,13,4,41,khys9575,,7,6,8,yato,,30,15,49,dxvxn,41,8
,7,4,40,bashfulgoon (ytmp_melly),,3,1,8,aholl173,,12,7,49,joelembiid,39,10
,6,4,40,wade,,2,2,8,arthurmorgan,,16,11,49,xo,39,10
,10,3,40,khabib (seiya),,2,1,8,soyeon (joshy),,19,11,49,garland,38,11
