#,PLAYER,AVERAGE,GEM,T100,T50,GP,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,
131,mars_vibezz,305.3333333,195.5331184,3,1,8,567,333,399,,,,86,58,,15,,,353,566,371,
132,joshminottenjoyer,310,200.7408345,3,2,11,198,600,,45,142,362,725,,171,18,272,,85,591,511,
133,plemay,310.4615385,239.3350788,2,0,12,125,269,258,186,271,862,631,185,,197,,51,93,476,432,
134,markjackson,311.5,127.997918,3,2,7,177,,1135,,355,,483,,5,,28,,249,60,,
135,palmer (freaky_giannis),318,230.9678111,2,1,8,,,734,360,338,,,266,40,95,,,164,547,,
136,nyc,320.8666667,202.0304695,5,0,14,390,53,475,134,59,1311,662,638,294,213,86,155,83,194,66,
137,grounded,333,268.3804293,2,0,8,,261,97,76,503,,,,492,641,302,,,,292,
138,sony_,337.1111111,290.3335341,0,0,9,,,434,104,,,515,597,234,184,177,264,525,,,
139,juan.soto22,338.0909091,67.40537843,7,3,11,,70,5,55,2861,,,,64,206,85,27,114,3,229,
140,jameswyo,342.7272727,289.5947947,0,0,10,805,132,238,,141,467,684,184,200,304,,324,,,291,
141,shot,344.1111111,308.1664891,0,0,8,455,591,272,,433,262,213,119,,,,525,227,,,
142,crqmer,345.2,206.3687706,2,1,9,98,,1128,12,375,653,,,191,84,249,,371,,291,
143,shitsterken (quickleyy) (wxrtz),346.625,206.1457552,1,1,7,113,,,202,188,31,1152,,708,113,266,,,,,
144,hardforbedard,355.5,176.2201773,2,2,8,,260,151,,,49,,1005,,,,143,12,919,305,
145,chris,356.6,61.29271975,7,4,14,4,1,68,87,27,80,2664,7,346,112,117,851,235,749,1,
146,sink,358,180.5573512,4,3,13,,14,39,544,23,662,224,113,255,1130,78,595,177,,800,
147,itzneallol,361.6666667,199.9330468,4,2,14,701,290,349,84,257,1180,11,940,107,71,19,392,410,169,445,
148,liljon (yorkkkk) (jaccags),363.1666667,270.2761582,3,1,11,298,,381,,,567,282,287,42,97,98,978,265,557,506,
149,poopybuttlover,364.4,217.4951397,1,1,9,152,152,1087,319,,224,8,206,,216,,443,,837,,
150,xxyn,364.5,272.2472175,0,0,8,,,,,,157,1315,247,415,222,,,177,172,211,
151,sasser,365,250.0091444,2,1,9,,210,62,30,292,,575,,,,284,795,413,,624,
152,garland,369.1538462,205.00378,2,0,12,17,77,564,162,199,508,99,126,191,2012,190,261,393,,,
153,okorolover355 (iouisss),370.5714286,273.5061782,2,0,13,293,207,551,1193,62,207,69,236,363,863,,298,238,451,157,
154,trickyy,385.25,288.9380842,1,0,11,68,359,260,1034,,708,287,488,,,62,233,655,237,232,
155,bengalsw,386.4,216.9894699,2,2,10,,,,237,1094,,,765,136,155,25,26,389,742,295,
156,grizzy,398.8333333,232.7274466,2,1,11,530,335,1650,15,110,370,266,,,700,,197,400,148,65,
157,toasty,402.7,342.7093455,0,0,10,,191,572,1091,,,,,236,511,263,259,226,457,221,
158,braden_,408.8181818,316.5691421,1,0,10,417,255,,,251,62,1007,390,,115,818,232,473,,477,
159,dariusgarland,418.5833333,281.1810117,1,1,11,96,293,43,656,109,1499,279,559,314,,207,,704,264,,
160,twistex,422.3076923,334.8077968,0,0,12,599,,526,254,1570,148,246,653,,325,232,257,209,259,212,
161,bg_15 (adames),422.875,357.8782215,0,0,7,223,,,237,849,,292,604,,,,,537,519,122,
162,draculas,429.2,326.6010408,1,0,10,,572,390,325,54,1327,463,304,290,407,160,,,,,
163,zero,465.3636364,119.5929966,5,3,10,2342,,,,9,,465,538,3,13,968,509,68,98,106,
164,btjszn (nate_),469.2222222,154.1852754,3,2,8,275,13,168,69,137,111,2275,30,,1145,,,,,,
165,justakidfromakron23,483.3571429,436.2798721,0,0,13,243,218,841,705,982,352,,686,449,359,477,345,369,485,256,
166,mpls,484.2,266.1856613,1,0,9,135,124,597,,88,184,172,,216,,,,798,2371,157,
167,lehkyforselke,533.3076923,98.82828527,4,3,12,11,29,153,161,13,5,68,244,110,176,151,5138,674,,,
168,tylrr,556.5454545,459.5791405,0,0,10,408,386,,,,904,185,324,203,341,,403,594,980,1394,
169,j417,625.0909091,516.5409063,0,0,11,,193,919,316,158,511,1243,546,575,537,558,,,,1320,
170,glo (vazyok) (rivv_) (irunyew_) (cywebb),639.8571429,385.747641,0,0,13,44,316,1244,2016,766,1140,1805,204,168,,189,207,220,270,369,
171,chltown,715.1,330.8297422,2,1,10,,37,1307,,65,438,299,3691,237,359,445,273,,,,
172,cyl,729.3333333,209.3815555,2,0,8,222,,,,,,,133,73,218,5311,231,183,141,52,
173,mlbelite,828.4444444,556.4784169,0,0,8,181,847,422,2885,376,1285,922,373,,,,,,,165,
174,devincooker,847.2857143,303.1879542,3,1,13,174,383,689,696,660,423,7728,266,47,243,96,78,213,,166,
175,ukator,890.125,433.1195227,1,0,7,2478,63,,402,222,773,2741,,,,,,304,,138,
176,burning,989.7777778,635.4503685,0,0,9,,,,4324,590,901,747,581,888,311,,146,,420,,
177,dane,1076.25,325.1606656,4,1,11,360,,72,267,87,635,7364,255,330,2166,71,30,,1278,,
178,rockymountain,1085.375,468.7525073,1,1,8,,258,,,334,2360,,,37,382,381,,,4453,478,
179,ow3n1 (owens) (owencooks),1394.916667,532.7981289,2,1,12,,211,571,,776,44,751,8930,81,1007,,800,109,2299,1160,
180,lxst (corum),7405.444444,218.4332394,2,2,8,404,498,,221,,16,,,471,,,161,108,3,64767,
181,pat,16853.27273,333.718839,2,1,10,52,444,182784,763,427,,,,303,178,79,102,208,46,,
182,smart (sammy),26163.11111,359.2841946,2,2,9,,,,,,40,334,544,407,349,176,233436,168,,14,
183,nael_abuasi,32726.55556,1038.544577,1,0,8,672,,97,264,,523,281231,,,,,478,300,365,10609,
